,10 YR Treasury Averagespread_v_Federal Funds Rate,Moody Baa Yield Averagespread_v_Federal Funds Rate,Moody Aaa Yield Averagespread_v_Federal Funds Rate,30 Year Mortgage Averagespread_v_Federal Funds Rate,10 YR Treasury Averagespread_v_Federal Funds Ratecat,Moody Baa Yield Averagespread_v_Federal Funds Ratecat,Moody Aaa Yield Averagespread_v_Federal Funds Ratecat,30 Year Mortgage Averagespread_v_Federal Funds Ratecat
2009-11-30,3.09,6.2,5.07,4.82,1,1,1,1
2009-12-31,3.16,6.25,5.14,4.82,1,1,1,1
2010-01-31,3.17,6.14,5.15,4.83,1,1,1,1
2010-02-28,3.55,6.21,5.22,4.81,1,1,1,1
2010-03-31,3.45,6.11,5.11,4.78,1,1,1,1
2010-04-30,3.69,6.05,5.09,4.88,1,1,1,1
2010-05-31,3.69,5.85,4.76,4.88,1,1,1,1
2010-06-30,3.11,6.05,4.7,4.9,1,1,1,1
2010-07-31,2.78,5.83,4.54,4.4,1,1,1,1
2010-08-31,2.77,5.47,4.3,4.39,1,1,1,1
2010-09-30,2.39,5.47,4.34,4.39,1,1,1,1
2010-10-31,2.35,5.53,4.49,4.39,1,1,1,1
2010-11-30,2.47,5.73,4.68,4.39,1,1,1,1
2010-12-31,2.79,5.92,4.84,4.4,1,1,1,1
2011-01-31,2.8,5.92,4.87,4.41,1,1,1,1
2011-02-28,3.32,5.99,5.06,4.42,1,1,1,1
2011-03-31,3.27,5.89,4.99,4.44,1,1,1,1
2011-04-30,3.36,5.92,5.06,4.48,1,1,1,1
2011-05-31,3.37,5.69,4.87,4.49,1,1,1,1
2011-06-30,2.87,5.66,4.9,4.49,1,1,1,1
2011-07-31,3.15,5.69,4.86,4.51,1,1,1,1
2011-08-31,2.67,5.26,4.27,4.48,1,1,1,1
2011-09-30,2.07,5.19,4.01,4.14,1,1,1,1
2011-10-31,2.08,5.3,3.91,4.15,1,1,1,1
2011-11-30,1.93,5.06,3.79,4.14,1,1,1,1
2011-12-31,2.04,5.18,3.86,3.93,1,1,1,1
2012-01-31,2.03,5.15,3.77,3.92,1,1,1,1
2012-02-29,1.77,5.04,3.75,3.9,1,1,1,1
2012-03-31,1.9,5.1,3.86,3.77,1,1,1,1
2012-04-30,1.89,5.05,3.82,3.76,1,1,1,1
2012-05-31,1.82,4.91,3.64,3.74,1,1,1,1
2012-06-30,1.31,4.86,3.48,3.74,1,1,1,1
2012-07-31,1.31,4.71,3.24,3.74,1,1,1,1
2012-08-31,1.43,4.78,3.35,3.77,1,1,1,1
2012-09-30,1.42,4.7,3.35,3.76,1,1,1,1
2012-10-31,1.48,4.42,3.31,3.74,1,1,1,1
2012-11-30,1.59,4.35,3.34,3.23,1,1,1,1
2012-12-31,1.59,4.47,3.49,3.23,1,1,1,1
2013-01-31,1.61,4.59,3.66,3.25,1,1,1,1
2013-02-28,1.89,4.7,3.75,3.24,1,1,1,1
2013-03-31,1.72,4.71,3.79,3.25,1,1,1,1
2013-04-30,1.71,4.44,3.58,3.24,1,1,1,1
2013-05-31,1.55,4.62,3.78,3.28,1,1,1,1
2013-06-30,1.57,5.1,4.18,3.3,1,1,1,1
2013-07-31,2.41,5.23,4.25,3.3,1,1,1,1
2013-08-31,2.66,5.34,4.46,4.31,1,1,1,1
2013-09-30,2.66,5.39,4.56,4.31,1,1,1,1
2013-10-31,2.57,5.22,4.44,4.3,1,1,1,1
2013-11-30,2.57,5.3,4.55,4.31,1,1,1,1
2013-12-31,2.56,5.29,4.53,4.3,1,1,1,1
2014-01-31,2.58,5.12,4.42,4.32,1,1,1,1
2014-02-28,2.58,5.03,4.38,4.32,1,1,1,1
2014-03-31,2.57,4.98,4.3,4.31,1,1,1,1
2014-04-30,2.68,4.81,4.15,4.3,1,1,1,1
2014-05-31,2.54,4.67,4.07,4.2,1,1,1,1
2014-06-30,2.53,4.7,4.15,4.19,1,1,1,1
2014-07-31,2.49,4.64,4.07,4.2,1,1,1,1
2014-08-31,2.43,4.6,3.99,4.2,1,1,1,1
2014-09-30,2.43,4.71,4.02,4.2,1,1,1,1
2014-10-31,2.33,4.6,3.83,4.2,1,1,1,1
2014-11-30,2.33,4.7,3.83,4.2,1,1,1,1
2014-12-31,2.1,4.62,3.67,4.17,1,1,1,1
2015-01-31,2.11,4.34,3.35,4.18,1,1,1,1
2015-02-28,2.11,4.4,3.5,4.18,1,1,1,1
2015-03-31,2.11,4.43,3.53,4.18,1,1,1,1
2015-04-30,1.75,4.36,3.4,4.17,1,1,1,1
2015-05-31,2,4.77,3.86,4.17,1,1,1,1
2015-06-30,2.06,5,4.06,4.16,1,1,1,1
2015-07-31,2.3,5.07,4.02,4.16,1,1,1,1
2015-08-31,2.29,5.05,3.9,4.15,1,1,1,1
2015-09-30,2.03,5.2,3.93,4.15,1,1,1,1
2015-10-31,1.93,5.22,3.83,3.73,1,1,1,1
2015-11-30,1.93,5.34,3.94,3.73,1,1,1,1
2015-12-31,1.91,5.22,3.73,3.61,1,1,1,1
2016-01-31,1.81,5.11,3.66,3.51,1,1,1,1
2016-02-29,1.59,4.96,3.58,3.47,1,1,1,1
2016-03-31,1.47,4.77,3.46,3.49,1,1,1,1
2016-04-30,1.42,4.42,3.25,3.48,1,1,1,1
2016-05-31,1.42,4.31,3.28,3.48,1,1,1,1
2016-06-30,1.47,4.15,3.12,3.47,1,1,1,1
2016-07-31,1.07,3.83,2.89,3.46,1,1,1,1
2016-08-31,1.11,3.84,2.92,3.45,1,1,1,1
2016-09-30,1.17,3.91,3.01,3.06,1,1,1,1
2016-10-31,1.17,3.98,3.11,3.06,1,1,1,1
2016-11-30,1.42,4.3,3.45,3.05,1,1,1,1
2016-12-31,1.91,4.29,3.52,3.54,1,1,1,1
2017-01-31,1.8,4.01,3.27,3.43,1,1,1,1
2017-02-28,1.82,3.98,3.29,3.42,1,1,1,1
2017-03-31,1.67,3.89,3.22,3.29,1,1,1,1
2017-04-30,1.56,3.67,2.97,3.18,1,1,1,1
2017-05-31,1.42,3.64,2.94,3.17,1,1,1,1
2017-06-30,1.17,3.33,2.64,2.9,1,1,1,1
2017-07-31,1.06,3.24,2.55,2.79,1,1,1,1
2017-08-31,1.1,3.15,2.47,2.78,1,1,1,1
2017-09-30,1.01,3.15,2.48,2.79,1,1,1,1
2017-10-31,1.01,3.17,2.45,2.79,1,1,1,1
2017-11-30,1.21,3.11,2.41,2.78,1,1,1,1
2017-12-31,1.07,2.92,2.21,2.64,1,1,1,1
2018-01-31,0.96,2.85,2.14,2.53,1,1,1,1
2018-02-28,1.36,3.09,2.4,2.8,1,1,1,1
2018-03-31,1.3,3.13,2.36,2.92,1,1,1,1
2018-04-30,1.12,2.98,2.16,2.74,1,1,1,1
2018-05-31,1.27,3.13,2.3,2.73,1,1,1,1
2018-06-30,1.07,3.01,2.14,2.61,1,1,1,1
2018-07-31,0.98,2.88,1.96,2.52,1,1,1,1
2018-08-31,1.09,2.86,1.97,2.52,1,1,1,1
2018-09-30,1.05,2.93,2.03,2.48,1,1,1,1
2018-10-31,0.9,2.88,1.95,2.24,1,1,1,1
2018-11-30,0.94,3.02,2.02,2.63,1,1,1,1
